"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","05/16/2013","21:26:15","","Missing [;] or [line feed] after expression"
"ERROR","web-0","05/16/2013","21:27:39","","Missing [;] or [line feed] after expression"
"ERROR","web-0","05/16/2013","21:27:58","","too many Attributes in function call [ListRemoveDuplicates]"
"ERROR","web-0","05/16/2013","21:31:18","","Missing [;] or [line feed] after expression"
"ERROR","web-0","05/16/2013","21:31:45","","Missing [;] or [line feed] after expression"
"ERROR","web-0","05/16/2013","21:34:51","","too many Attributes in function call [ListRemoveDuplicates]"
"ERROR","web-0","05/17/2013","17:24:47","","too many Attributes in function call [ListRemoveDuplicates]"
"ERROR","web-0","05/17/2013","17:25:05","","too many Attributes in function call [ListRemoveDuplicates]"
"ERROR","web-0","05/17/2013","17:27:37","","too many Attributes in function call [ListRemoveDuplicates]"
"ERROR","web-0","05/17/2013","17:37:36","","Missing [;] or [line feed] after expression"
