"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","05/16/2013","21:45:31","","mxunit test failure::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [foo]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [0.0]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED []. These values should not be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","","Multiple paths expected a number argument, but the argument passed in was not a number.::"
"ERROR","web-0","05/16/2013","21:45:31","","Multiple paths expected a number argument, but the argument passed in was not a number.::"
"ERROR","web-0","05/16/2013","21:45:31","","mxunit test failure::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [false]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [local foo]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [true]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [true]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [true]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [false]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [true]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [5.0]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [ho! ho! ho! ]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [potato]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [pea]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [nut]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [chevy]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [1hello]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [hello world!]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [hello world!  ]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [  hello world!]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [marty and the doc go to the future]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [16.0]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [37.0]. These values should be the same. ::"
"ERROR","web-0","05/16/2013","21:45:31","",":: Expected [] BUT RECEIVED [0.0]. These values should be the same. ::"
